iteration,train_loss,val_loss,train_acc,val_acc
20000,tensor(1.7025),tensor(1.6893),tensor(0.4974),tensor(0.5051)
20100,tensor(1.7076),tensor(1.6916),tensor(0.4960),tensor(0.5067)
20200,tensor(1.7162),tensor(1.6929),tensor(0.5025),tensor(0.5048)
20300,tensor(1.7070),tensor(1.6889),tensor(0.5016),tensor(0.5126)
20400,tensor(1.7190),tensor(1.6764),tensor(0.5037),tensor(0.5094)
20500,tensor(1.7022),tensor(1.6898),tensor(0.5013),tensor(0.5110)
20600,tensor(1.7046),tensor(1.6781),tensor(0.5044),tensor(0.5071)
20700,tensor(1.7089),tensor(1.6763),tensor(0.5035),tensor(0.5133)
20800,tensor(1.6960),tensor(1.6769),tensor(0.5046),tensor(0.5111)
20900,tensor(1.6928),tensor(1.6650),tensor(0.5053),tensor(0.5097)
21000,tensor(1.6769),tensor(1.6795),tensor(0.5058),tensor(0.5115)
21100,tensor(1.6883),tensor(1.6710),tensor(0.5070),tensor(0.5118)
21200,tensor(1.6874),tensor(1.6785),tensor(0.5080),tensor(0.5105)
21300,tensor(1.7024),tensor(1.6638),tensor(0.5065),tensor(0.5127)
21400,tensor(1.6988),tensor(1.6739),tensor(0.5045),tensor(0.5152)
21500,tensor(1.6865),tensor(1.6634),tensor(0.5076),tensor(0.5109)
21600,tensor(1.6695),tensor(1.6699),tensor(0.5059),tensor(0.5140)
21700,tensor(1.6844),tensor(1.6715),tensor(0.5107),tensor(0.5182)
21800,tensor(1.6843),tensor(1.6696),tensor(0.5101),tensor(0.5150)
21900,tensor(1.6717),tensor(1.6728),tensor(0.5101),tensor(0.5155)
22000,tensor(1.6850),tensor(1.6542),tensor(0.5100),tensor(0.5125)
22100,tensor(1.6658),tensor(1.6511),tensor(0.5126),tensor(0.5153)
22200,tensor(1.6904),tensor(1.6597),tensor(0.5104),tensor(0.5165)
22300,tensor(1.6753),tensor(1.6563),tensor(0.5137),tensor(0.5181)
22400,tensor(1.6805),tensor(1.6413),tensor(0.5122),tensor(0.5163)
22500,tensor(1.6541),tensor(1.6440),tensor(0.5123),tensor(0.5176)
22600,tensor(1.6592),tensor(1.6478),tensor(0.5127),tensor(0.5176)
22700,tensor(1.6820),tensor(1.6308),tensor(0.5154),tensor(0.5190)
22800,tensor(1.6652),tensor(1.6480),tensor(0.5175),tensor(0.5185)
22900,tensor(1.6595),tensor(1.6435),tensor(0.5169),tensor(0.5200)
23000,tensor(1.6685),tensor(1.6487),tensor(0.5148),tensor(0.5200)
23100,tensor(1.6680),tensor(1.6569),tensor(0.5165),tensor(0.5226)
23200,tensor(1.6680),tensor(1.6226),tensor(0.5118),tensor(0.5190)
23300,tensor(1.6595),tensor(1.6426),tensor(0.5137),tensor(0.5208)
23400,tensor(1.6578),tensor(1.6433),tensor(0.5163),tensor(0.5202)
23500,tensor(1.6581),tensor(1.6322),tensor(0.5147),tensor(0.5203)
23600,tensor(1.6529),tensor(1.6352),tensor(0.5183),tensor(0.5198)
23700,tensor(1.6513),tensor(1.6436),tensor(0.5187),tensor(0.5255)
23800,tensor(1.6443),tensor(1.6325),tensor(0.5159),tensor(0.5222)
23900,tensor(1.6516),tensor(1.6295),tensor(0.5156),tensor(0.5263)
24000,tensor(1.6523),tensor(1.6255),tensor(0.5209),tensor(0.5246)
24100,tensor(1.6536),tensor(1.6308),tensor(0.5180),tensor(0.5218)
24200,tensor(1.6540),tensor(1.6266),tensor(0.5189),tensor(0.5243)
24300,tensor(1.6401),tensor(1.6321),tensor(0.5220),tensor(0.5281)
24400,tensor(1.6537),tensor(1.6219),tensor(0.5209),tensor(0.5251)
24500,tensor(1.6458),tensor(1.6080),tensor(0.5204),tensor(0.5263)
24600,tensor(1.6514),tensor(1.6238),tensor(0.5223),tensor(0.5263)
24700,tensor(1.6374),tensor(1.6187),tensor(0.5197),tensor(0.5245)
24800,tensor(1.6444),tensor(1.6214),tensor(0.5201),tensor(0.5269)
24900,tensor(1.6396),tensor(1.6142),tensor(0.5238),tensor(0.5272)
25000,tensor(1.6368),tensor(1.6142),tensor(0.5209),tensor(0.5300)
25100,tensor(1.6257),tensor(1.6109),tensor(0.5245),tensor(0.5296)
25200,tensor(1.6420),tensor(1.6058),tensor(0.5243),tensor(0.5322)
25300,tensor(1.6238),tensor(1.6037),tensor(0.5234),tensor(0.5298)
25400,tensor(1.6314),tensor(1.6213),tensor(0.5208),tensor(0.5270)
25500,tensor(1.6410),tensor(1.6135),tensor(0.5232),tensor(0.5306)
25600,tensor(1.6218),tensor(1.6084),tensor(0.5221),tensor(0.5290)
25700,tensor(1.6319),tensor(1.5982),tensor(0.5234),tensor(0.5318)
25800,tensor(1.6320),tensor(1.6107),tensor(0.5242),tensor(0.5321)
25900,tensor(1.6223),tensor(1.5974),tensor(0.5237),tensor(0.5327)
26000,tensor(1.6146),tensor(1.6052),tensor(0.5298),tensor(0.5335)
26100,tensor(1.6240),tensor(1.6032),tensor(0.5240),tensor(0.5298)
26200,tensor(1.6315),tensor(1.5890),tensor(0.5245),tensor(0.5333)
26300,tensor(1.6206),tensor(1.6079),tensor(0.5235),tensor(0.5319)
26400,tensor(1.6144),tensor(1.6017),tensor(0.5310),tensor(0.5347)
26500,tensor(1.6188),tensor(1.5881),tensor(0.5300),tensor(0.5312)
26600,tensor(1.6171),tensor(1.5937),tensor(0.5277),tensor(0.5343)
26700,tensor(1.6049),tensor(1.6138),tensor(0.5288),tensor(0.5336)
26800,tensor(1.6048),tensor(1.5988),tensor(0.5264),tensor(0.5366)
26900,tensor(1.6139),tensor(1.5822),tensor(0.5305),tensor(0.5352)
27000,tensor(1.6170),tensor(1.5949),tensor(0.5275),tensor(0.5343)
27100,tensor(1.6162),tensor(1.6025),tensor(0.5289),tensor(0.5346)
27200,tensor(1.5956),tensor(1.5839),tensor(0.5283),tensor(0.5363)
27300,tensor(1.6115),tensor(1.5964),tensor(0.5312),tensor(0.5387)
27400,tensor(1.6130),tensor(1.5993),tensor(0.5298),tensor(0.5344)
27500,tensor(1.6101),tensor(1.5847),tensor(0.5344),tensor(0.5351)
27600,tensor(1.6086),tensor(1.5811),tensor(0.5291),tensor(0.5369)
27700,tensor(1.5975),tensor(1.5846),tensor(0.5286),tensor(0.5372)
27800,tensor(1.5992),tensor(1.5863),tensor(0.5318),tensor(0.5394)
27900,tensor(1.5943),tensor(1.5805),tensor(0.5296),tensor(0.5389)
28000,tensor(1.6014),tensor(1.5841),tensor(0.5305),tensor(0.5389)
28100,tensor(1.6138),tensor(1.5870),tensor(0.5307),tensor(0.5402)
28200,tensor(1.6031),tensor(1.5964),tensor(0.5363),tensor(0.5390)
28300,tensor(1.6162),tensor(1.5787),tensor(0.5315),tensor(0.5410)
28400,tensor(1.5997),tensor(1.5778),tensor(0.5315),tensor(0.5375)
28500,tensor(1.5964),tensor(1.5696),tensor(0.5308),tensor(0.5355)
28600,tensor(1.5902),tensor(1.5793),tensor(0.5317),tensor(0.5394)
28700,tensor(1.5921),tensor(1.5712),tensor(0.5331),tensor(0.5406)
28800,tensor(1.5996),tensor(1.5787),tensor(0.5351),tensor(0.5360)
28900,tensor(1.5907),tensor(1.5733),tensor(0.5365),tensor(0.5448)
29000,tensor(1.5921),tensor(1.5787),tensor(0.5359),tensor(0.5381)
29100,tensor(1.5790),tensor(1.5784),tensor(0.5303),tensor(0.5424)
29200,tensor(1.5993),tensor(1.5786),tensor(0.5321),tensor(0.5411)
29300,tensor(1.5820),tensor(1.5819),tensor(0.5319),tensor(0.5375)
29400,tensor(1.5923),tensor(1.5820),tensor(0.5339),tensor(0.5411)
29500,tensor(1.5890),tensor(1.5751),tensor(0.5379),tensor(0.5430)
29600,tensor(1.5904),tensor(1.5619),tensor(0.5361),tensor(0.5451)
29700,tensor(1.5811),tensor(1.5730),tensor(0.5373),tensor(0.5453)
29800,tensor(1.5809),tensor(1.5584),tensor(0.5388),tensor(0.5461)
29900,tensor(1.5932),tensor(1.5651),tensor(0.5385),tensor(0.5443)
