iteration,train_loss,val_loss,train_acc,val_acc
21800,tensor(1.7411),tensor(1.7326),tensor(0.4891),tensor(0.4866)
21900,tensor(1.7392),tensor(1.7461),tensor(0.4890),tensor(0.4899)
22000,tensor(1.7363),tensor(1.7877),tensor(0.4918),tensor(0.4863)
22100,tensor(1.7307),tensor(1.7285),tensor(0.4893),tensor(0.4915)
22200,tensor(1.7378),tensor(1.7280),tensor(0.4941),tensor(0.4896)
22300,tensor(1.7221),tensor(1.7296),tensor(0.4932),tensor(0.4901)
22400,tensor(1.7272),tensor(1.7487),tensor(0.4929),tensor(0.4907)
22500,tensor(1.7282),tensor(1.7218),tensor(0.4897),tensor(0.4908)
22600,tensor(1.7363),tensor(1.7314),tensor(0.4919),tensor(0.4927)
22700,tensor(1.7279),tensor(1.7098),tensor(0.4892),tensor(0.4940)
22800,tensor(1.7392),tensor(1.7370),tensor(0.4969),tensor(0.4923)
22900,tensor(1.7151),tensor(1.7125),tensor(0.4960),tensor(0.4965)
23000,tensor(1.7138),tensor(1.7343),tensor(0.4914),tensor(0.4930)
23100,tensor(1.6984),tensor(1.7120),tensor(0.4947),tensor(0.4911)
23200,tensor(1.7562),tensor(1.7333),tensor(0.4940),tensor(0.4972)
23300,tensor(1.7454),tensor(1.7304),tensor(0.4964),tensor(0.4997)
23400,tensor(1.6997),tensor(1.7082),tensor(0.4988),tensor(0.4974)
23500,tensor(1.7250),tensor(1.7485),tensor(0.4972),tensor(0.4981)
23600,tensor(1.7100),tensor(1.7399),tensor(0.4966),tensor(0.4968)
23700,tensor(1.7007),tensor(1.7104),tensor(0.4971),tensor(0.4992)
23800,tensor(1.7336),tensor(1.7247),tensor(0.4980),tensor(0.4989)
23900,tensor(1.7272),tensor(1.6986),tensor(0.5012),tensor(0.4984)
24000,tensor(1.7015),tensor(1.7039),tensor(0.4990),tensor(0.4971)
24100,tensor(1.7088),tensor(1.7064),tensor(0.5016),tensor(0.5013)
24200,tensor(1.7115),tensor(1.6947),tensor(0.4972),tensor(0.4976)
24300,tensor(1.7358),tensor(1.6971),tensor(0.5029),tensor(0.4965)
24400,tensor(1.6791),tensor(1.7169),tensor(0.5025),tensor(0.5005)
24500,tensor(1.6990),tensor(1.6687),tensor(0.5015),tensor(0.5027)
24600,tensor(1.7216),tensor(1.7128),tensor(0.4992),tensor(0.5022)
24700,tensor(1.6896),tensor(1.7137),tensor(0.5051),tensor(0.4969)
24800,tensor(1.7024),tensor(1.6943),tensor(0.5023),tensor(0.4999)
24900,tensor(1.6906),tensor(1.7242),tensor(0.5033),tensor(0.5038)
25000,tensor(1.6870),tensor(1.7091),tensor(0.5065),tensor(0.5054)
25100,tensor(1.6802),tensor(1.6944),tensor(0.5031),tensor(0.4991)
25200,tensor(1.6874),tensor(1.7109),tensor(0.5061),tensor(0.5031)
25300,tensor(1.6844),tensor(1.6939),tensor(0.5049),tensor(0.5088)
25400,tensor(1.7200),tensor(1.6680),tensor(0.5048),tensor(0.5070)
25500,tensor(1.6678),tensor(1.6867),tensor(0.5070),tensor(0.5035)
25600,tensor(1.6781),tensor(1.6963),tensor(0.5089),tensor(0.5053)
25700,tensor(1.7267),tensor(1.6970),tensor(0.5048),tensor(0.5043)
25800,tensor(1.6701),tensor(1.6704),tensor(0.5080),tensor(0.5025)
25900,tensor(1.6890),tensor(1.6654),tensor(0.5102),tensor(0.5047)
26000,tensor(1.6829),tensor(1.6785),tensor(0.5097),tensor(0.5029)
26100,tensor(1.6635),tensor(1.6841),tensor(0.5095),tensor(0.5088)
26200,tensor(1.6902),tensor(1.7041),tensor(0.5077),tensor(0.5057)
26300,tensor(1.6812),tensor(1.6828),tensor(0.5098),tensor(0.5064)
26400,tensor(1.6728),tensor(1.6918),tensor(0.5082),tensor(0.5121)
26500,tensor(1.6554),tensor(1.6568),tensor(0.5123),tensor(0.5086)
26600,tensor(1.6532),tensor(1.6662),tensor(0.5132),tensor(0.5067)
26700,tensor(1.6476),tensor(1.6595),tensor(0.5120),tensor(0.5101)
26800,tensor(1.6633),tensor(1.6534),tensor(0.5035),tensor(0.5080)
26900,tensor(1.6568),tensor(1.6784),tensor(0.5111),tensor(0.5082)
27000,tensor(1.6678),tensor(1.6540),tensor(0.5147),tensor(0.5102)
27100,tensor(1.6547),tensor(1.6726),tensor(0.5096),tensor(0.5064)
27200,tensor(1.6340),tensor(1.6616),tensor(0.5134),tensor(0.5121)
27300,tensor(1.6560),tensor(1.6780),tensor(0.5147),tensor(0.5100)
27400,tensor(1.6509),tensor(1.6468),tensor(0.5091),tensor(0.5098)
27500,tensor(1.6758),tensor(1.6558),tensor(0.5092),tensor(0.5119)
27600,tensor(1.6594),tensor(1.6650),tensor(0.5159),tensor(0.5156)
27700,tensor(1.6633),tensor(1.6472),tensor(0.5142),tensor(0.5095)
27800,tensor(1.6464),tensor(1.6425),tensor(0.5101),tensor(0.5159)
27900,tensor(1.6531),tensor(1.6702),tensor(0.5158),tensor(0.5134)
28000,tensor(1.6527),tensor(1.6314),tensor(0.5170),tensor(0.5156)
28100,tensor(1.6345),tensor(1.6573),tensor(0.5112),tensor(0.5152)
28200,tensor(1.6504),tensor(1.6298),tensor(0.5158),tensor(0.5176)
28300,tensor(1.6488),tensor(1.6536),tensor(0.5166),tensor(0.5130)
28400,tensor(1.6591),tensor(1.6407),tensor(0.5151),tensor(0.5171)
28500,tensor(1.6727),tensor(1.6447),tensor(0.5131),tensor(0.5150)
28600,tensor(1.6520),tensor(1.6288),tensor(0.5178),tensor(0.5112)
28700,tensor(1.6720),tensor(1.6516),tensor(0.5153),tensor(0.5205)
28800,tensor(1.6530),tensor(1.6377),tensor(0.5138),tensor(0.5193)
28900,tensor(1.6757),tensor(1.6431),tensor(0.5210),tensor(0.5171)
29000,tensor(1.6265),tensor(1.6368),tensor(0.5195),tensor(0.5178)
29100,tensor(1.6314),tensor(1.6347),tensor(0.5152),tensor(0.5165)
29200,tensor(1.6604),tensor(1.6413),tensor(0.5161),tensor(0.5168)
29300,tensor(1.6614),tensor(1.6597),tensor(0.5180),tensor(0.5194)
29400,tensor(1.6736),tensor(1.6453),tensor(0.5173),tensor(0.5182)
29500,tensor(1.6436),tensor(1.6318),tensor(0.5194),tensor(0.5197)
29600,tensor(1.6213),tensor(1.6477),tensor(0.5169),tensor(0.5188)
29700,tensor(1.6362),tensor(1.6354),tensor(0.5202),tensor(0.5213)
29800,tensor(1.6406),tensor(1.6473),tensor(0.5201),tensor(0.5195)
29900,tensor(1.6637),tensor(1.6172),tensor(0.5183),tensor(0.5192)
